Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,3,control15,420,M404
V1,6,Vinos13Desalcoh,266,M15
V1,4,vino13MixDesalcoh,510,M902
V1,1,Vinoverde13,360,M587
V1,2,vino13coop,827,M838
V1,5,vino13MixCampo,489,M455
V2,6,Vinos13Desalcoh,266,M836
V2,1,Vinoverde13,360,M149
V2,3,control15,420,M30
V2,5,vino13MixCampo,489,M504
V2,4,vino13MixDesalcoh,510,M533
V2,2,vino13coop,827,M798
V3,1,Vinoverde13,360,M383
V3,5,vino13MixCampo,489,M505
V3,6,Vinos13Desalcoh,266,M577
V3,2,vino13coop,827,M925
V3,3,control15,420,M241
V3,4,vino13MixDesalcoh,510,M304
V4,5,vino13MixCampo,489,M535
V4,2,vino13coop,827,M71
V4,1,Vinoverde13,360,M296
V4,4,vino13MixDesalcoh,510,M398
V4,6,Vinos13Desalcoh,266,M527
V4,3,control15,420,M387
V5,2,vino13coop,827,M411
V5,4,vino13MixDesalcoh,510,M161
V5,5,vino13MixCampo,489,M799
V5,3,control15,420,M75
V5,1,Vinoverde13,360,M57
V5,6,Vinos13Desalcoh,266,M588
V6,4,vino13MixDesalcoh,510,M563
V6,3,control15,420,M174
V6,2,vino13coop,827,M142
V6,6,Vinos13Desalcoh,266,M810
V6,5,vino13MixCampo,489,M557
V6,1,Vinoverde13,360,M243
V7,3,control15,420,M976
V7,2,vino13coop,827,M630
V7,5,vino13MixCampo,489,M693
V7,6,Vinos13Desalcoh,266,M16
V7,1,Vinoverde13,360,M748
V7,4,vino13MixDesalcoh,510,M620
V8,2,vino13coop,827,M288
V8,6,Vinos13Desalcoh,266,M637
V8,3,control15,420,M826
V8,4,vino13MixDesalcoh,510,M429
V8,5,vino13MixCampo,489,M576
V8,1,Vinoverde13,360,M928
V9,6,Vinos13Desalcoh,266,M786
V9,4,vino13MixDesalcoh,510,M619
V9,2,vino13coop,827,M908
V9,1,Vinoverde13,360,M894
V9,3,control15,420,M476
V9,5,vino13MixCampo,489,M198
V10,4,vino13MixDesalcoh,510,M720
V10,1,Vinoverde13,360,M395
V10,6,Vinos13Desalcoh,266,M378
V10,5,vino13MixCampo,489,M843
V10,2,vino13coop,827,M141
V10,3,control15,420,M410
V11,1,Vinoverde13,360,M289
V11,5,vino13MixCampo,489,M309
V11,4,vino13MixDesalcoh,510,M869
V11,3,control15,420,M967
V11,6,Vinos13Desalcoh,266,M977
V11,2,vino13coop,827,M755
V12,5,vino13MixCampo,489,M332
V12,3,control15,420,M582
V12,1,Vinoverde13,360,M611
V12,2,vino13coop,827,M592
V12,4,vino13MixDesalcoh,510,M686
V12,6,Vinos13Desalcoh,266,M536
V13,2,vino13coop,827,M511
V13,4,vino13MixDesalcoh,510,M791
V13,6,Vinos13Desalcoh,266,M99
V13,5,vino13MixCampo,489,M6
V13,3,control15,420,M363
V13,1,Vinoverde13,360,M391
V14,4,vino13MixDesalcoh,510,M921
V14,5,vino13MixCampo,489,M636
V14,2,vino13coop,827,M692
V14,1,Vinoverde13,360,M932
V14,6,Vinos13Desalcoh,266,M216
V14,3,control15,420,M348
V15,5,vino13MixCampo,489,M912
V15,1,Vinoverde13,360,M164
V15,4,vino13MixDesalcoh,510,M72
V15,3,control15,420,M968
V15,2,vino13coop,827,M454
V15,6,Vinos13Desalcoh,266,M801
V16,1,Vinoverde13,360,M555
V16,3,control15,420,M373
V16,5,vino13MixCampo,489,M146
V16,6,Vinos13Desalcoh,266,M76
V16,4,vino13MixDesalcoh,510,M299
V16,2,vino13coop,827,M264
V17,3,control15,420,M79
V17,6,Vinos13Desalcoh,266,M192
V17,1,Vinoverde13,360,M873
V17,2,vino13coop,827,M252
V17,5,vino13MixCampo,489,M238
V17,4,vino13MixDesalcoh,510,M466
V18,6,Vinos13Desalcoh,266,M991
V18,2,vino13coop,827,M767
V18,3,control15,420,M401
V18,4,vino13MixDesalcoh,510,M195
V18,1,Vinoverde13,360,M138
V18,5,vino13MixCampo,489,M914
V19,1,Vinoverde13,360,M196
V19,6,Vinos13Desalcoh,266,M212
V19,4,vino13MixDesalcoh,510,M875
V19,3,control15,420,M349
V19,5,vino13MixCampo,489,M224
V19,2,vino13coop,827,M116
V20,6,Vinos13Desalcoh,266,M920
V20,3,control15,420,M291
V20,1,Vinoverde13,360,M364
V20,2,vino13coop,827,M126
V20,4,vino13MixDesalcoh,510,M223
V20,5,vino13MixCampo,489,M0
V21,3,control15,420,M245
V21,2,vino13coop,827,M819
V21,6,Vinos13Desalcoh,266,M675
V21,5,vino13MixCampo,489,M240
V21,1,Vinoverde13,360,M613
V21,4,vino13MixDesalcoh,510,M442
V22,2,vino13coop,827,M589
V22,5,vino13MixCampo,489,M225
V22,3,control15,420,M259
V22,4,vino13MixDesalcoh,510,M228
V22,6,Vinos13Desalcoh,266,M277
V22,1,Vinoverde13,360,M758
V23,5,vino13MixCampo,489,M74
V23,4,vino13MixDesalcoh,510,M999
V23,2,vino13coop,827,M880
V23,1,Vinoverde13,360,M154
V23,3,control15,420,M368
V23,6,Vinos13Desalcoh,266,M165
V24,4,vino13MixDesalcoh,510,M701
V24,1,Vinoverde13,360,M884
V24,5,vino13MixCampo,489,M607
V24,6,Vinos13Desalcoh,266,M821
V24,2,vino13coop,827,M205
V24,3,control15,420,M465
V25,3,control15,420,M443
V25,6,Vinos13Desalcoh,266,M416
V25,4,vino13MixDesalcoh,510,M622
V25,1,Vinoverde13,360,M694
V25,2,vino13coop,827,M853
V25,5,vino13MixCampo,489,M155
V26,6,Vinos13Desalcoh,266,M784
V26,1,Vinoverde13,360,M35
V26,3,control15,420,M311
V26,5,vino13MixCampo,489,M394
V26,4,vino13MixDesalcoh,510,M34
V26,2,vino13coop,827,M298
V27,1,Vinoverde13,360,M560
V27,5,vino13MixCampo,489,M70
V27,6,Vinos13Desalcoh,266,M31
V27,2,vino13coop,827,M453
V27,3,control15,420,M104
V27,4,vino13MixDesalcoh,510,M255
V28,5,vino13MixCampo,489,M127
V28,2,vino13coop,827,M425
V28,1,Vinoverde13,360,M178
V28,4,vino13MixDesalcoh,510,M822
V28,6,Vinos13Desalcoh,266,M464
V28,3,control15,420,M20
V29,2,vino13coop,827,M882
V29,4,vino13MixDesalcoh,510,M924
V29,5,vino13MixCampo,489,M270
V29,3,control15,420,M550
V29,1,Vinoverde13,360,M659
V29,6,Vinos13Desalcoh,266,M891
V30,4,vino13MixDesalcoh,510,M436
V30,3,control15,420,M181
V30,2,vino13coop,827,M367
V30,6,Vinos13Desalcoh,266,M865
V30,5,vino13MixCampo,489,M564
V30,1,Vinoverde13,360,M794
V31,2,vino13coop,827,M508
V31,4,vino13MixDesalcoh,510,M209
V31,5,vino13MixCampo,489,M258
V31,3,control15,420,M81
V31,1,Vinoverde13,360,M624
V31,6,Vinos13Desalcoh,266,M776
V32,4,vino13MixDesalcoh,510,M806
V32,3,control15,420,M247
V32,2,vino13coop,827,M568
V32,6,Vinos13Desalcoh,266,M375
V32,5,vino13MixCampo,489,M789
V32,1,Vinoverde13,360,M200
