Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,3,control15,420,M770
V1,6,Vinos13Desalcoh,266,M115
V1,4,vino13MixDesalcoh,510,M684
V1,1,Vinoverde13,360,M891
V1,2,vino13coop,827,M267
V1,5,vino13MixCampo,489,M173
V2,6,Vinos13Desalcoh,266,M502
V2,1,Vinoverde13,360,M434
V2,3,control15,420,M356
V2,5,vino13MixCampo,489,M496
V2,4,vino13MixDesalcoh,510,M228
V2,2,vino13coop,827,M314
V3,1,Vinoverde13,360,M973
V3,5,vino13MixCampo,489,M157
V3,6,Vinos13Desalcoh,266,M877
V3,2,vino13coop,827,M260
V3,3,control15,420,M168
V3,4,vino13MixDesalcoh,510,M498
V4,5,vino13MixCampo,489,M970
V4,2,vino13coop,827,M825
V4,1,Vinoverde13,360,M339
V4,4,vino13MixDesalcoh,510,M309
V4,6,Vinos13Desalcoh,266,M751
V4,3,control15,420,M803
V5,2,vino13coop,827,M851
V5,4,vino13MixDesalcoh,510,M516
V5,5,vino13MixCampo,489,M563
V5,3,control15,420,M834
V5,1,Vinoverde13,360,M147
V5,6,Vinos13Desalcoh,266,M852
V6,4,vino13MixDesalcoh,510,M854
V6,3,control15,420,M359
V6,2,vino13coop,827,M792
V6,6,Vinos13Desalcoh,266,M205
V6,5,vino13MixCampo,489,M763
V6,1,Vinoverde13,360,M417
V7,3,control15,420,M12
V7,2,vino13coop,827,M289
V7,5,vino13MixCampo,489,M614
V7,6,Vinos13Desalcoh,266,M483
V7,1,Vinoverde13,360,M263
V7,4,vino13MixDesalcoh,510,M732
V8,2,vino13coop,827,M523
V8,6,Vinos13Desalcoh,266,M741
V8,3,control15,420,M376
V8,4,vino13MixDesalcoh,510,M190
V8,5,vino13MixCampo,489,M131
V8,1,Vinoverde13,360,M98
V9,6,Vinos13Desalcoh,266,M879
V9,4,vino13MixDesalcoh,510,M980
V9,2,vino13coop,827,M699
V9,1,Vinoverde13,360,M908
V9,3,control15,420,M452
V9,5,vino13MixCampo,489,M381
V10,4,vino13MixDesalcoh,510,M806
V10,1,Vinoverde13,360,M497
V10,6,Vinos13Desalcoh,266,M338
V10,5,vino13MixCampo,489,M401
V10,2,vino13coop,827,M400
V10,3,control15,420,M620
V11,1,Vinoverde13,360,M600
V11,5,vino13MixCampo,489,M24
V11,4,vino13MixDesalcoh,510,M626
V11,3,control15,420,M602
V11,6,Vinos13Desalcoh,266,M829
V11,2,vino13coop,827,M259
